fasta order,tip_labels,tip_labels_alt1,tip_labels_alt2,processid,detailed_species,species,info_group,info_group_species,BIN,region_NZ,Locality,Source_type,Genus,family,order,sampleid,GMYC_spec,country,region_public,,,,new_labels,,,,,,,,new_labels_subsets
82,JX216719.1_Lecane_luna_voucher_ECOCHZ_AG0877_cytochrome_oxidase_subunit_1__COI__gene__partial_cds__mitochondrial,"JX216719.1_Lecane_luna_voucher_ECOCHZ-AG0877_cytochrome_oxidase_subunit_1_(COI)_gene,_partial_cds;_mitochondrial",NA,JX216719,Lecane luna,Lecane luna,aaPublic,aaPublic,BOLD:AAV7935,,NA,Public,NA,NA,NA,NA,GMYC:143,NA,NA,italic(`,`)~(`,`),italic(`Lecane luna`)~(`BOLD:AAV7935`)~(`GMYC:143`)~(`NA`),(`,BOLD:AAV7935,`)~(`,GMYC:143,`)~(`,NA,`),(`BOLD:AAV7935`)~(`GMYC:143`)~(`NA`)
83,KY749440.1_Brachionus_budapestinensis_isolate_DUL75AR_cytochrome_oxidase_subunit_I__COI__gene__partial_cds__mitochondrial,"KY749440.1_Brachionus_budapestinensis_isolate_DUL75AR_cytochrome_oxidase_subunit_I_(COI)_gene,_partial_cds;_mitochondrial",NA,KY749440,Brachionus budapestanensis,Brachionus budapestanensis,aaPublic,aaPublic,BOLD:ACG5388,,NA,Public,NA,NA,NA,NA,GMYC:14,NA,NA,italic(`,`)~(`,`),italic(`Brachionus budapestanensis`)~(`BOLD:ACG5388`)~(`GMYC:14`)~(`NA`),(`,BOLD:ACG5388,`)~(`,GMYC:14,`)~(`,NA,`),(`BOLD:ACG5388`)~(`GMYC:14`)~(`NA`)
84,MK905787.1_Synchaeta_hutchingsi_isolate_030817_WHV_I1_cytochrome_c_oxidase_I__COI__gene__partial_cds__mitochondrial,"MK905787.1_Synchaeta_hutchingsi_isolate_030817_WHV_I1_cytochrome_c_oxidase_I_(COI)_gene,_partial_cds;_mitochondrial",NA,MK905787,Synchaeta hutchingsi,Synchaeta hutchingsi,aaPublic,aaPublic,BOLD:ACF7162,,NA,Public,NA,NA,NA,NA,GMYC:133,NA,NA,italic(`,`)~(`,`),italic(`Synchaeta hutchingsi`)~(`BOLD:ACF7162`)~(`GMYC:133`)~(`NA`),(`,BOLD:ACF7162,`)~(`,GMYC:133,`)~(`,NA,`),(`BOLD:ACF7162`)~(`GMYC:133`)~(`NA`)
85,MZ438155.1_Polyarthra_dolichoptera_isolate_Pdol_QX_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438155.1_Polyarthra_dolichoptera_isolate_Pdol_QX_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438155,Polyarthra dolichoptera,Polyarthra dolichoptera,aaPublic,aaPublic,BOLD:ADM0437,,NA,Public,NA,NA,NA,NA,GMYC:34,NA,NA,italic(`,`)~(`,`),italic(`Polyarthra dolichoptera`)~(`BOLD:ADM0437`)~(`GMYC:34`)~(`NA`),(`,BOLD:ADM0437,`)~(`,GMYC:34,`)~(`,NA,`),(`BOLD:ADM0437`)~(`GMYC:34`)~(`NA`)
86,MZ438156.1_Polyarthra_dolichoptera_isolate_Pdol_HT_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438156.1_Polyarthra_dolichoptera_isolate_Pdol_HT_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438156,Polyarthra dolichoptera,Polyarthra dolichoptera,aaPublic,aaPublic,BOLD:ADM0437,,NA,Public,NA,NA,NA,NA,GMYC:35,NA,NA,italic(`,`)~(`,`),italic(`Polyarthra dolichoptera`)~(`BOLD:ADM0437`)~(`GMYC:35`)~(`NA`),(`,BOLD:ADM0437,`)~(`,GMYC:35,`)~(`,NA,`),(`BOLD:ADM0437`)~(`GMYC:35`)~(`NA`)
87,MZ438157.1_Polyarthra_dolichoptera_isolate_Pdol_MX_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438157.1_Polyarthra_dolichoptera_isolate_Pdol_MX_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438157,Polyarthra dolichoptera,Polyarthra dolichoptera,aaPublic,aaPublic,BOLD:ADM0437,,NA,Public,NA,NA,NA,NA,GMYC:34,NA,NA,italic(`,`)~(`,`),italic(`Polyarthra dolichoptera`)~(`BOLD:ADM0437`)~(`GMYC:34`)~(`NA`),(`,BOLD:ADM0437,`)~(`,GMYC:34,`)~(`,NA,`),(`BOLD:ADM0437`)~(`GMYC:34`)~(`NA`)
88,MZ438189.1_Keratella_tropica_isolate_Ktro_MX_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438189.1_Keratella_tropica_isolate_Ktro_MX_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438189,Keratella tropica,Keratella tropica,aaPublic,aaPublic,BOLD:ADM1238,,NA,Public,NA,NA,NA,NA,GMYC:44,NA,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:ADM1238`)~(`GMYC:44`)~(`NA`),(`,BOLD:ADM1238,`)~(`,GMYC:44,`)~(`,NA,`),(`BOLD:ADM1238`)~(`GMYC:44`)~(`NA`)
89,MZ438190.1_Keratella_tropica_isolate_Ktro_QLS_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438190.1_Keratella_tropica_isolate_Ktro_QLS_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438190,Keratella tropica,Keratella tropica,aaPublic,aaPublic,BOLD:ADM1238,,NA,Public,NA,NA,NA,NA,GMYC:44,NA,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:ADM1238`)~(`GMYC:44`)~(`NA`),(`,BOLD:ADM1238,`)~(`,GMYC:44,`)~(`,NA,`),(`BOLD:ADM1238`)~(`GMYC:44`)~(`NA`)
90,MZ438191.1_Keratella_tropica_isolate_Ktro_GS_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438191.1_Keratella_tropica_isolate_Ktro_GS_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438191,Keratella tropica,Keratella tropica,aaPublic,aaPublic,BOLD:ADM1238,,NA,Public,NA,NA,NA,NA,GMYC:44,NA,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:ADM1238`)~(`GMYC:44`)~(`NA`),(`,BOLD:ADM1238,`)~(`,GMYC:44,`)~(`,NA,`),(`BOLD:ADM1238`)~(`GMYC:44`)~(`NA`)
91,MZ438192.1_Keratella_tropica_isolate_Ktro_CT_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438192.1_Keratella_tropica_isolate_Ktro_CT_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438192,Keratella tropica,Keratella tropica,aaPublic,aaPublic,BOLD:AAU3067,,NA,Public,NA,NA,NA,NA,GMYC:47,NA,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:AAU3067`)~(`GMYC:47`)~(`NA`),(`,BOLD:AAU3067,`)~(`,GMYC:47,`)~(`,NA,`),(`BOLD:AAU3067`)~(`GMYC:47`)~(`NA`)
92,MZ438193.1_Keratella_tropica_isolate_Ktro_DB_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438193.1_Keratella_tropica_isolate_Ktro_DB_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438193,Keratella tropica,Keratella tropica,aaPublic,aaPublic,BOLD:AAU3067,,NA,Public,NA,NA,NA,NA,GMYC:46,NA,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:AAU3067`)~(`GMYC:46`)~(`NA`),(`,BOLD:AAU3067,`)~(`,GMYC:46,`)~(`,NA,`),(`BOLD:AAU3067`)~(`GMYC:46`)~(`NA`)
93,MZ438194.1_Keratella_tropica_isolate_Ktro_SHB_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438194.1_Keratella_tropica_isolate_Ktro_SHB_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438194,Keratella tropica,Keratella tropica,aaPublic,aaPublic,BOLD:AAU3067,,NA,Public,NA,NA,NA,NA,GMYC:46,NA,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:AAU3067`)~(`GMYC:46`)~(`NA`),(`,BOLD:AAU3067,`)~(`,GMYC:46,`)~(`,NA,`),(`BOLD:AAU3067`)~(`GMYC:46`)~(`NA`)
94,MZ438195.1_Keratella_tropica_isolate_Ktro_HS_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438195.1_Keratella_tropica_isolate_Ktro_HS_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438195,Keratella tropica,Keratella tropica,aaPublic,aaPublic,BOLD:AAU3067,,NA,Public,NA,NA,NA,NA,GMYC:47,NA,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:AAU3067`)~(`GMYC:47`)~(`NA`),(`,BOLD:AAU3067,`)~(`,GMYC:47,`)~(`,NA,`),(`BOLD:AAU3067`)~(`GMYC:47`)~(`NA`)
95,MZ438196.1_Keratella_tropica_isolate_Ktro_SB_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438196.1_Keratella_tropica_isolate_Ktro_SB_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438196,Keratella tropica,Keratella tropica,aaPublic,aaPublic,BOLD:AAU3067,,NA,Public,NA,NA,NA,NA,GMYC:47,NA,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:AAU3067`)~(`GMYC:47`)~(`NA`),(`,BOLD:AAU3067,`)~(`,GMYC:47,`)~(`,NA,`),(`BOLD:AAU3067`)~(`GMYC:47`)~(`NA`)
96,MZ438200.1_Brachionus_budapestinensis_isolate_Bbud_SB_cytochrome_c_oxidase_subunit_I__COX1__gene__partial_cds__mitochondrial,"MZ438200.1_Brachionus_budapestinensis_isolate_Bbud_SB_cytochrome_c_oxidase_subunit_I_(COX1)_gene,_partial_cds;_mitochondrial",NA,MZ438200,Brachionus budapestanensis,Brachionus budapestanensis,aaPublic,aaPublic,BOLD:AEJ0402,,NA,Public,NA,NA,NA,NA,GMYC:83,NA,NA,italic(`,`)~(`,`),italic(`Brachionus budapestanensis`)~(`BOLD:AEJ0402`)~(`GMYC:83`)~(`NA`),(`,BOLD:AEJ0402,`)~(`,GMYC:83,`)~(`,NA,`),(`BOLD:AEJ0402`)~(`GMYC:83`)~(`NA`)
97,NZPL494_11|Brachionus_quadridentatus,NZPL494-11|Brachionus_quadridentatus,NZPL494-11_Brachionus-quadridentatus_Glasshouse_Pond,NZPL494-11,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus,Brachionus quadridentatus,BOLD:ABA7390,north island,Glasshouse Pond,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,GMYC:16,NA,NA,italic(`,`)~(`,`),italic(`Brachionus quadridentatus`)~(`BOLD:ABA7390`)~(`GMYC:16`)~(`north island`)~(`Glasshouse Pond`),(`,BOLD:ABA7390,`)~(`,GMYC:16,`)~(`,Glasshouse Pond,`),(`BOLD:ABA7390`)~(`GMYC:16`)~(`Glasshouse Pond`)
98,NZPL496_12|Polyarthra_dolichoptera,NZPL496-12|Polyarthra_dolichoptera,NZPL496-12_Polyarthra-dolichoptera_Chapel_Lake,NZPL496-12,Polyarthra-dolichoptera,Polyarthra dolichoptera,Polyarthra,Polyarthra dolichoptera,BOLD:AAZ5884,north island,Chapel Lake,DS-NZROT,Polyarthra,Synchaetidae,Ploima,NA,GMYC:33,NA,NA,italic(`,`)~(`,`),italic(`Polyarthra dolichoptera`)~(`BOLD:AAZ5884`)~(`GMYC:33`)~(`north island`)~(`Chapel Lake`),(`,BOLD:AAZ5884,`)~(`,GMYC:33,`)~(`,Chapel Lake,`),(`BOLD:AAZ5884`)~(`GMYC:33`)~(`Chapel Lake`)
99,NZPL499_12|Brachionus_angularis,NZPL499-12|Brachionus_angularis,NZPL499-12_Brachionus-angularis_Glasshouse_Pond,NZPL499-12,Brachionus-angularis,Brachionus angularis,Brachionus,Brachionus angularis,BOLD:ABU8353,north island,Glasshouse Pond,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,GMYC:20,NA,NA,italic(`,`)~(`,`),italic(`Brachionus angularis`)~(`BOLD:ABU8353`)~(`GMYC:20`)~(`north island`)~(`Glasshouse Pond`),(`,BOLD:ABU8353,`)~(`,GMYC:20,`)~(`,Glasshouse Pond,`),(`BOLD:ABU8353`)~(`GMYC:20`)~(`Glasshouse Pond`)
100,NZPL500_12|Brachionus_angularis,NZPL500-12|Brachionus_angularis,NZPL500-12_Brachionus-angularis_Glasshouse_Pond,NZPL500-12,Brachionus-angularis,Brachionus angularis,Brachionus,Brachionus angularis,BOLD:ABU8353,north island,Glasshouse Pond,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,GMYC:20,NA,NA,italic(`,`)~(`,`),italic(`Brachionus angularis`)~(`BOLD:ABU8353`)~(`GMYC:20`)~(`north island`)~(`Glasshouse Pond`),(`,BOLD:ABU8353,`)~(`,GMYC:20,`)~(`,Glasshouse Pond,`),(`BOLD:ABU8353`)~(`GMYC:20`)~(`Glasshouse Pond`)
101,NZPL501_12|Brachionus_quadridentatus,NZPL501-12|Brachionus_quadridentatus,NZPL501-12_Brachionus-quadridentatus_Glasshouse_Pond,NZPL501-12,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus,Brachionus quadridentatus,BOLD:ABA7390,north island,Glasshouse Pond,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,GMYC:16,NA,NA,italic(`,`)~(`,`),italic(`Brachionus quadridentatus`)~(`BOLD:ABA7390`)~(`GMYC:16`)~(`north island`)~(`Glasshouse Pond`),(`,BOLD:ABA7390,`)~(`,GMYC:16,`)~(`,Glasshouse Pond,`),(`BOLD:ABA7390`)~(`GMYC:16`)~(`Glasshouse Pond`)
102,NZPL503_12|Keratella_procurva,NZPL503-12|Keratella_procurva,NZPL503-12_Keratella-procurva_Glasshouse_Pond,NZPL503-12,Keratella-procurva,Keratella procurva,Keratella,Keratella procurva,BOLD:ABU9212,north island,Glasshouse Pond,DS-NZROT,Keratella,Brachionidae,Ploima,NA,GMYC:49,NA,NA,italic(`,`)~(`,`),italic(`Keratella procurva`)~(`BOLD:ABU9212`)~(`GMYC:49`)~(`north island`)~(`Glasshouse Pond`),(`,BOLD:ABU9212,`)~(`,GMYC:49,`)~(`,Glasshouse Pond,`),(`BOLD:ABU9212`)~(`GMYC:49`)~(`Glasshouse Pond`)
103,NZPL504_12|Keratella_procurva,NZPL504-12|Keratella_procurva,NZPL504-12_Keratella-procurva_Glasshouse_Pond,NZPL504-12,Keratella-procurva,Keratella procurva,Keratella,Keratella procurva,BOLD:AAM5102,north island,Glasshouse Pond,DS-NZROT,Keratella,Brachionidae,Ploima,NA,GMYC:48,NA,NA,italic(`,`)~(`,`),italic(`Keratella procurva`)~(`BOLD:AAM5102`)~(`GMYC:48`)~(`north island`)~(`Glasshouse Pond`),(`,BOLD:AAM5102,`)~(`,GMYC:48,`)~(`,Glasshouse Pond,`),(`BOLD:AAM5102`)~(`GMYC:48`)~(`Glasshouse Pond`)
104,NZPL516_12|Filinia_longiseta,NZPL516-12|Filinia_longiseta,NZPL516-12_Filinia-longiseta_Auckland_Botanical_Gardens,NZPL516-12,Filinia-longiseta,Filinia longiseta,Filinia,Filinia longiseta,BOLD:ABU8253,north island,Auckland Botanical Gardens,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,GMYC:68,NA,NA,italic(`,`)~(`,`),italic(`Filinia longiseta`)~(`BOLD:ABU8253`)~(`GMYC:68`)~(`north island`)~(`Auckland Botanical Gardens`),(`,BOLD:ABU8253,`)~(`,GMYC:68,`)~(`,Auckland Botanical Gardens,`),(`BOLD:ABU8253`)~(`GMYC:68`)~(`Auckland Botanical Gardens`)
105,NZPL517_12|Filinia_longiseta,NZPL517-12|Filinia_longiseta,NZPL517-12_Filinia-longiseta_Auckland_Botanical_Gardens,NZPL517-12,Filinia-longiseta,Filinia longiseta,Filinia,Filinia longiseta,BOLD:ABU8253,north island,Auckland Botanical Gardens,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,GMYC:68,NA,NA,italic(`,`)~(`,`),italic(`Filinia longiseta`)~(`BOLD:ABU8253`)~(`GMYC:68`)~(`north island`)~(`Auckland Botanical Gardens`),(`,BOLD:ABU8253,`)~(`,GMYC:68,`)~(`,Auckland Botanical Gardens,`),(`BOLD:ABU8253`)~(`GMYC:68`)~(`Auckland Botanical Gardens`)
106,NZPL520_12|Keratella_procurva,NZPL520-12|Keratella_procurva,NZPL520-12_Keratella-procurva_Auckland_Botanical_Gardens,NZPL520-12,Keratella-procurva,Keratella procurva,Keratella,Keratella procurva,BOLD:AAM5102,north island,Auckland Botanical Gardens,DS-NZROT,Keratella,Brachionidae,Ploima,NA,GMYC:48,NA,NA,italic(`,`)~(`,`),italic(`Keratella procurva`)~(`BOLD:AAM5102`)~(`GMYC:48`)~(`north island`)~(`Auckland Botanical Gardens`),(`,BOLD:AAM5102,`)~(`,GMYC:48,`)~(`,Auckland Botanical Gardens,`),(`BOLD:AAM5102`)~(`GMYC:48`)~(`Auckland Botanical Gardens`)
107,NZPL521_12|Keratella_procurva,NZPL521-12|Keratella_procurva,NZPL521-12_Keratella-procurva_Auckland_Botanical_Gardens,NZPL521-12,Keratella-procurva,Keratella procurva,Keratella,Keratella procurva,BOLD:AAM5102,north island,Auckland Botanical Gardens,DS-NZROT,Keratella,Brachionidae,Ploima,NA,GMYC:48,NA,NA,italic(`,`)~(`,`),italic(`Keratella procurva`)~(`BOLD:AAM5102`)~(`GMYC:48`)~(`north island`)~(`Auckland Botanical Gardens`),(`,BOLD:AAM5102,`)~(`,GMYC:48,`)~(`,Auckland Botanical Gardens,`),(`BOLD:AAM5102`)~(`GMYC:48`)~(`Auckland Botanical Gardens`)
108,NZPL522_12|Trichocerca_similis,NZPL522-12|Trichocerca_similis,NZPL522-12_Trichocerca-similis_Auckland_Botanical_Gardens,NZPL522-12,Trichocerca-similis,Trichocerca similis,Trichocerca,Trichocerca similis,BOLD:AAV7895,north island,Auckland Botanical Gardens,DS-NZROT,Trichocerca,Trichocercidae,Ploima,NA,GMYC:3,NA,NA,italic(`,`)~(`,`),italic(`Trichocerca similis`)~(`BOLD:AAV7895`)~(`GMYC:3`)~(`north island`)~(`Auckland Botanical Gardens`),(`,BOLD:AAV7895,`)~(`,GMYC:3,`)~(`,Auckland Botanical Gardens,`),(`BOLD:AAV7895`)~(`GMYC:3`)~(`Auckland Botanical Gardens`)
109,NZPL523_12|Filinia_longiseta,NZPL523-12|Filinia_longiseta,NZPL523-12_Filinia-longiseta_Albany_Pond,NZPL523-12,Filinia-longiseta,Filinia longiseta,Filinia,Filinia longiseta,BOLD:ABU8253,north island,Albany Pond,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,GMYC:68,NA,NA,italic(`,`)~(`,`),italic(`Filinia longiseta`)~(`BOLD:ABU8253`)~(`GMYC:68`)~(`north island`)~(`Albany Pond`),(`,BOLD:ABU8253,`)~(`,GMYC:68,`)~(`,Albany Pond,`),(`BOLD:ABU8253`)~(`GMYC:68`)~(`Albany Pond`)
110,NZPL524_12|Filinia_longiseta,NZPL524-12|Filinia_longiseta,NZPL524-12_Filinia-longiseta_Albany_Pond,NZPL524-12,Filinia-longiseta,Filinia longiseta,Filinia,Filinia longiseta,BOLD:ABU8253,north island,Albany Pond,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,GMYC:68,NA,NA,italic(`,`)~(`,`),italic(`Filinia longiseta`)~(`BOLD:ABU8253`)~(`GMYC:68`)~(`north island`)~(`Albany Pond`),(`,BOLD:ABU8253,`)~(`,GMYC:68,`)~(`,Albany Pond,`),(`BOLD:ABU8253`)~(`GMYC:68`)~(`Albany Pond`)
111,NZPL525_12|Lecane_luna,NZPL525-12|Lecane_luna,NZPL525-12_Lecane-luna_Albany_Pond,NZPL525-12,Lecane-luna,Lecane luna,Lecane,Lecane luna,BOLD:ABU8861,north island,Albany Pond,DS-NZROT,Lecane,Lecanidae,Ploima,NA,GMYC:59,NA,NA,italic(`,`)~(`,`),italic(`Lecane luna`)~(`BOLD:ABU8861`)~(`GMYC:59`)~(`north island`)~(`Albany Pond`),(`,BOLD:ABU8861,`)~(`,GMYC:59,`)~(`,Albany Pond,`),(`BOLD:ABU8861`)~(`GMYC:59`)~(`Albany Pond`)
112,NZPL526_12|Keratella_tropica,NZPL526-12|Keratella_tropica,NZPL526-12_Keratella-tropica_Albany_Pond,NZPL526-12,Keratella-tropica,Keratella tropica,Keratella,Keratella tropica,BOLD:AAU3067,north island,Albany Pond,DS-NZROT,Keratella,Brachionidae,Ploima,NA,GMYC:47,NA,NA,italic(`,`)~(`,`),italic(`Keratella tropica`)~(`BOLD:AAU3067`)~(`GMYC:47`)~(`north island`)~(`Albany Pond`),(`,BOLD:AAU3067,`)~(`,GMYC:47,`)~(`,Albany Pond,`),(`BOLD:AAU3067`)~(`GMYC:47`)~(`Albany Pond`)
113,NZPL528_12|Lecane_decipiens,NZPL528-12|Lecane_decipiens,NZPL528-12_Lecane-decipiens_Kahikatea_Pond,NZPL528-12,Lecane-decipiens,Lecane decipiens,Lecane,Lecane decipiens,BOLD:ABU8977,north island,Kahikatea Pond,DS-NZROT,Lecane,Lecanidae,Ploima,NA,GMYC:13,NA,NA,italic(`,`)~(`,`),italic(`Lecane decipiens`)~(`BOLD:ABU8977`)~(`GMYC:13`)~(`north island`)~(`Kahikatea Pond`),(`,BOLD:ABU8977,`)~(`,GMYC:13,`)~(`,Kahikatea Pond,`),(`BOLD:ABU8977`)~(`GMYC:13`)~(`Kahikatea Pond`)
114,NZPL529_12|Lecane_decipiens,NZPL529-12|Lecane_decipiens,NZPL529-12_Lecane-decipiens_Kahikatea_Pond,NZPL529-12,Lecane-decipiens,Lecane decipiens,Lecane,Lecane decipiens,BOLD:ABU8977,north island,Kahikatea Pond,DS-NZROT,Lecane,Lecanidae,Ploima,NA,GMYC:13,NA,NA,italic(`,`)~(`,`),italic(`Lecane decipiens`)~(`BOLD:ABU8977`)~(`GMYC:13`)~(`north island`)~(`Kahikatea Pond`),(`,BOLD:ABU8977,`)~(`,GMYC:13,`)~(`,Kahikatea Pond,`),(`BOLD:ABU8977`)~(`GMYC:13`)~(`Kahikatea Pond`)
115,NZPL539_12|Squatinella_mutica,NZPL539-12|Squatinella_mutica,NZPL539-12_Squatinella-mutica_Stagnant_Pond,NZPL539-12,Squatinella-mutica,Squatinella mutica,Squatinella,Squatinella mutica,BOLD:ABV0111,north island,Stagnant Pond,DS-NZROT,Squatinella,Lepadellidae,Ploima,NA,GMYC:10,NA,NA,italic(`,`)~(`,`),italic(`Squatinella mutica`)~(`BOLD:ABV0111`)~(`GMYC:10`)~(`north island`)~(`Stagnant Pond`),(`,BOLD:ABV0111,`)~(`,GMYC:10,`)~(`,Stagnant Pond,`),(`BOLD:ABV0111`)~(`GMYC:10`)~(`Stagnant Pond`)
116,NZPL540_12|Lecane_bulla,NZPL540-12|Lecane_bulla,NZPL540-12_Lecane-bulla_Stagnant_Pond,NZPL540-12,Lecane-bulla,Lecane bulla,Lecane,Lecane bulla,BOLD:ABV4669,north island,Stagnant Pond,DS-NZROT,Lecane,Lecanidae,Ploima,NA,GMYC:50,NA,NA,italic(`,`)~(`,`),italic(`Lecane bulla`)~(`BOLD:ABV4669`)~(`GMYC:50`)~(`north island`)~(`Stagnant Pond`),(`,BOLD:ABV4669,`)~(`,GMYC:50,`)~(`,Stagnant Pond,`),(`BOLD:ABV4669`)~(`GMYC:50`)~(`Stagnant Pond`)
117,NZPL542_12|Cupelopagis_vorax,NZPL542-12|Cupelopagis_vorax,NZPL542-12_Cupelopagis-vorax_Chapel_Lake,NZPL542-12,Cupelopagis-vorax,Cupelopagis vorax,Cupelopagis,Cupelopagis vorax,BOLD:ABU8196,north island,Chapel Lake,DS-NZROT,Cupelopagis,Atrochidae,Collothecaceae,NA,GMYC:150,NA,NA,italic(`,`)~(`,`),italic(`Cupelopagis vorax`)~(`BOLD:ABU8196`)~(`GMYC:150`)~(`north island`)~(`Chapel Lake`),(`,BOLD:ABU8196,`)~(`,GMYC:150,`)~(`,Chapel Lake,`),(`BOLD:ABU8196`)~(`GMYC:150`)~(`Chapel Lake`)
118,NZPL543_12|Brachionus_calyciflorus,NZPL543-12|Brachionus_calyciflorus,NZPL543-12_Brachionus-calyciflorus_Chapel_Lake,NZPL543-12,Brachionus-calyciflorus,Brachionus calyciflorus,Brachionus,Brachionus calyciflorus,BOLD:AAT8862,north island,Chapel Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,GMYC:18,NA,NA,italic(`,`)~(`,`),italic(`Brachionus calyciflorus`)~(`BOLD:AAT8862`)~(`GMYC:18`)~(`north island`)~(`Chapel Lake`),(`,BOLD:AAT8862,`)~(`,GMYC:18,`)~(`,Chapel Lake,`),(`BOLD:AAT8862`)~(`GMYC:18`)~(`Chapel Lake`)
119,NZPL544_12|Brachionus_quadridentatus,NZPL544-12|Brachionus_quadridentatus,NZPL544-12_Brachionus-quadridentatus_Chapel_Lake,NZPL544-12,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus,Brachionus quadridentatus,BOLD:AAT9963,north island,Chapel Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,GMYC:17,NA,NA,italic(`,`)~(`,`),italic(`Brachionus quadridentatus`)~(`BOLD:AAT9963`)~(`GMYC:17`)~(`north island`)~(`Chapel Lake`),(`,BOLD:AAT9963,`)~(`,GMYC:17,`)~(`,Chapel Lake,`),(`BOLD:AAT9963`)~(`GMYC:17`)~(`Chapel Lake`)
120,NZPL545_12|Asplanchna_priodonta,NZPL545-12|Asplanchna_priodonta,NZPL545-12_Asplanchna-priodonta_Chapel_Lake,NZPL545-12,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna,Asplanchna priodonta,BOLD:AAZ3168,north island,Chapel Lake,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,GMYC:62,NA,NA,italic(`,`)~(`,`),italic(`Asplanchna priodonta`)~(`BOLD:AAZ3168`)~(`GMYC:62`)~(`north island`)~(`Chapel Lake`),(`,BOLD:AAZ3168,`)~(`,GMYC:62,`)~(`,Chapel Lake,`),(`BOLD:AAZ3168`)~(`GMYC:62`)~(`Chapel Lake`)
121,NZPL546_12|Asplanchna_priodonta,NZPL546-12|Asplanchna_priodonta,NZPL546-12_Asplanchna-priodonta_Chapel_Lake,NZPL546-12,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna,Asplanchna priodonta,BOLD:AAZ3168,north island,Chapel Lake,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,GMYC:62,NA,NA,italic(`,`)~(`,`),italic(`Asplanchna priodonta`)~(`BOLD:AAZ3168`)~(`GMYC:62`)~(`north island`)~(`Chapel Lake`),(`,BOLD:AAZ3168,`)~(`,GMYC:62,`)~(`,Chapel Lake,`),(`BOLD:AAZ3168`)~(`GMYC:62`)~(`Chapel Lake`)
