fasta order,tip_labels,tip_labels_xx,processid,species,species_name_tidy,species_name_barcode_gap,Locality,Source_type,Genus,family,order,sampleid,bin_uri,genus_name,species_name,country,region,tip_labels_previous,new_names_public,new_names_NZ,new_labels
128,NZPL560_12|Asplanchna_priodonta,NZPL560-12|Asplanchna_priodonta,NZPL560-12,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna priodonta,Lake Taupo,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAZ3168,NA,NA,NA,NA,NZPL560-12_Asplanchna-priodonta_Lake_Taupo,Asplanchna-priodonta (NA)(NZPL560-12)(NA),Asplanchna-priodonta (NZPL560-12)(Lake Taupo),Asplanchna-priodonta (NZPL560-12)(Lake Taupo)
134,NZPL578_12|Asplanchna_priodonta,NZPL578-12|Asplanchna_priodonta,NZPL578-12,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna priodonta,Lake Rotoiti,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAZ3168,NA,NA,NA,NA,NZPL578-12_Asplanchna-priodonta_Lake_Rotoiti,Asplanchna-priodonta (NA)(NZPL578-12)(NA),Asplanchna-priodonta (NZPL578-12)(Lake Rotoiti),Asplanchna-priodonta (NZPL578-12)(Lake Rotoiti)
135,NZPL579_12|Asplanchna_priodonta,NZPL579-12|Asplanchna_priodonta,NZPL579-12,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna priodonta,Lake Rotoiti,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAZ3168,NA,NA,NA,NA,NZPL579-12_Asplanchna-priodonta_Lake_Rotoiti,Asplanchna-priodonta (NA)(NZPL579-12)(NA),Asplanchna-priodonta (NZPL579-12)(Lake Rotoiti),Asplanchna-priodonta (NZPL579-12)(Lake Rotoiti)
217,NZPLR008_11|Asplanchna_sieboldi,NZPLR008-11|Asplanchna_sieboldi,NZPLR008-11,Asplanchna-sieboldi,Asplanchna sieboldi,Asplanchna sieboldi,Jubilee Pond,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAV0423,NA,NA,NA,NA,NZPLR008-11_Asplanchna-sieboldi_Jubilee_Pond,Asplanchna-sieboldi (NA)(NZPLR008-11)(NA),Asplanchna-sieboldi (NZPLR008-11)(Jubilee Pond),Asplanchna-sieboldi (NZPLR008-11)(Jubilee Pond)
224,NZPLR015_11|Asplanchna_sieboldi,NZPLR015-11|Asplanchna_sieboldi,NZPLR015-11,Asplanchna-sieboldi,Asplanchna sieboldi,Asplanchna sieboldi,Turtle Lake,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAV0423,NA,NA,NA,NA,NZPLR015-11_Asplanchna-sieboldi_Turtle_Lake,Asplanchna-sieboldi (NA)(NZPLR015-11)(NA),Asplanchna-sieboldi (NZPLR015-11)(Turtle Lake),Asplanchna-sieboldi (NZPLR015-11)(Turtle Lake)
225,NZPLR016_11|Asplanchna_sieboldi,NZPLR016-11|Asplanchna_sieboldi,NZPLR016-11,Asplanchna-sieboldi,Asplanchna sieboldi,Asplanchna sieboldi,Turtle Lake,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAV0423,NA,NA,NA,NA,NZPLR016-11_Asplanchna-sieboldi_Turtle_Lake,Asplanchna-sieboldi (NA)(NZPLR016-11)(NA),Asplanchna-sieboldi (NZPLR016-11)(Turtle Lake),Asplanchna-sieboldi (NZPLR016-11)(Turtle Lake)
231,NZPLR022_11|Asplanchna_priodonta,NZPLR022-11|Asplanchna_priodonta,NZPLR022-11,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna priodonta,Chapel Lake,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAZ3168,NA,NA,NA,NA,NZPLR022-11_Asplanchna-priodonta_Chapel_Lake,Asplanchna-priodonta (NA)(NZPLR022-11)(NA),Asplanchna-priodonta (NZPLR022-11)(Chapel Lake),Asplanchna-priodonta (NZPLR022-11)(Chapel Lake)
232,NZPLR024_11|Asplanchna_priodonta,NZPLR024-11|Asplanchna_priodonta,NZPLR024-11,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna priodonta,Chapel Lake,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAZ3168,NA,NA,NA,NA,NZPLR024-11_Asplanchna-priodonta_Chapel_Lake,Asplanchna-priodonta (NA)(NZPLR024-11)(NA),Asplanchna-priodonta (NZPLR024-11)(Chapel Lake),Asplanchna-priodonta (NZPLR024-11)(Chapel Lake)
282,NZPLR209_12|Asplanchna_priodonta,NZPLR209-12|Asplanchna_priodonta,NZPLR209-12,Asplanchna-priodonta,Asplanchna priodonta,Asplanchna priodonta,Lake Rotoma,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAZ3168,NA,NA,NA,NA,NZPLR209-12_Asplanchna-priodonta_Lake_Rotoma,Asplanchna-priodonta (NA)(NZPLR209-12)(NA),Asplanchna-priodonta (NZPLR209-12)(Lake Rotoma),Asplanchna-priodonta (NZPLR209-12)(Lake Rotoma)
293,NZPLR221_13|Asplanchna_sieboldi,NZPLR221-13|Asplanchna_sieboldi,NZPLR221-13,Asplanchna-sieboldi,Asplanchna sieboldi,Asplanchna sieboldi,Hamilton Zoo Ponds,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAV0423,NA,NA,NA,NA,NZPLR221-13_Asplanchna-sieboldi_Hamilton_Zoo_Ponds,Asplanchna-sieboldi (NA)(NZPLR221-13)(NA),Asplanchna-sieboldi (NZPLR221-13)(Hamilton Zoo Ponds),Asplanchna-sieboldi (NZPLR221-13)(Hamilton Zoo Ponds)
294,NZPLR222_13|Asplanchna_sieboldi,NZPLR222-13|Asplanchna_sieboldi,NZPLR222-13,Asplanchna-sieboldi,Asplanchna sieboldi,Asplanchna sieboldi,Hamilton Zoo Ponds,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAV0423,NA,NA,NA,NA,NZPLR222-13_Asplanchna-sieboldi_Hamilton_Zoo_Ponds,Asplanchna-sieboldi (NA)(NZPLR222-13)(NA),Asplanchna-sieboldi (NZPLR222-13)(Hamilton Zoo Ponds),Asplanchna-sieboldi (NZPLR222-13)(Hamilton Zoo Ponds)
306,NZPLR241_13|Asplanchna_sieboldi,NZPLR241-13|Asplanchna_sieboldi,NZPLR241-13,Asplanchna-sieboldi,Asplanchna sieboldi,Asplanchna sieboldi,Hamilton Zoo Ponds,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAV0423,NA,NA,NA,NA,NZPLR241-13_Asplanchna-sieboldi_Hamilton_Zoo_Ponds,Asplanchna-sieboldi (NA)(NZPLR241-13)(NA),Asplanchna-sieboldi (NZPLR241-13)(Hamilton Zoo Ponds),Asplanchna-sieboldi (NZPLR241-13)(Hamilton Zoo Ponds)
325,NZPLR371_14|Asplanchna_sieboldi,NZPLR371-14|Asplanchna_sieboldi,NZPLR371-14,Asplanchna-sieboldi,Asplanchna sieboldi,Asplanchna sieboldi,Hamilton Zoo Ponds,DS-NZROT,Asplanchna,Asplanchnidae,Ploima,NA,BOLD:AAV0423,NA,NA,NA,NA,NZPLR371-14_Asplanchna-sieboldi_Hamilton_Zoo_Ponds,Asplanchna-sieboldi (NA)(NZPLR371-14)(NA),Asplanchna-sieboldi (NZPLR371-14)(Hamilton Zoo Ponds),Asplanchna-sieboldi (NZPLR371-14)(Hamilton Zoo Ponds)
97,NZPL494_11|Brachionus_quadridentatus,NZPL494-11|Brachionus_quadridentatus,NZPL494-11,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus quadridentatus,Glasshouse Pond,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:ABA7390,NA,NA,NA,NA,NZPL494-11_Brachionus-quadridentatus_Glasshouse_Pond,Brachionus-quadridentatus (NA)(NZPL494-11)(NA),Brachionus-quadridentatus (NZPL494-11)(Glasshouse Pond),Brachionus-quadridentatus (NZPL494-11)(Glasshouse Pond)
99,NZPL499_12|Brachionus_angularis,NZPL499-12|Brachionus_angularis,NZPL499-12,Brachionus-angularis,Brachionus angularis,Brachionus angularis,Glasshouse Pond,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:ABU8353,NA,NA,NA,NA,NZPL499-12_Brachionus-angularis_Glasshouse_Pond,Brachionus-angularis (NA)(NZPL499-12)(NA),Brachionus-angularis (NZPL499-12)(Glasshouse Pond),Brachionus-angularis (NZPL499-12)(Glasshouse Pond)
100,NZPL500_12|Brachionus_angularis,NZPL500-12|Brachionus_angularis,NZPL500-12,Brachionus-angularis,Brachionus angularis,Brachionus angularis,Glasshouse Pond,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:ABU8353,NA,NA,NA,NA,NZPL500-12_Brachionus-angularis_Glasshouse_Pond,Brachionus-angularis (NA)(NZPL500-12)(NA),Brachionus-angularis (NZPL500-12)(Glasshouse Pond),Brachionus-angularis (NZPL500-12)(Glasshouse Pond)
101,NZPL501_12|Brachionus_quadridentatus,NZPL501-12|Brachionus_quadridentatus,NZPL501-12,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus quadridentatus,Glasshouse Pond,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:ABA7390,NA,NA,NA,NA,NZPL501-12_Brachionus-quadridentatus_Glasshouse_Pond,Brachionus-quadridentatus (NA)(NZPL501-12)(NA),Brachionus-quadridentatus (NZPL501-12)(Glasshouse Pond),Brachionus-quadridentatus (NZPL501-12)(Glasshouse Pond)
118,NZPL543_12|Brachionus_calyciflorus,NZPL543-12|Brachionus_calyciflorus,NZPL543-12,Brachionus-calyciflorus,Brachionus calyciflorus,Brachionus calyciflorus,Chapel Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:AAT8862,NA,NA,NA,NA,NZPL543-12_Brachionus-calyciflorus_Chapel_Lake,Brachionus-calyciflorus (NA)(NZPL543-12)(NA),Brachionus-calyciflorus (NZPL543-12)(Chapel Lake),Brachionus-calyciflorus (NZPL543-12)(Chapel Lake)
119,NZPL544_12|Brachionus_quadridentatus,NZPL544-12|Brachionus_quadridentatus,NZPL544-12,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus quadridentatus,Chapel Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:AAT9963,NA,NA,NA,NA,NZPL544-12_Brachionus-quadridentatus_Chapel_Lake,Brachionus-quadridentatus (NA)(NZPL544-12)(NA),Brachionus-quadridentatus (NZPL544-12)(Chapel Lake),Brachionus-quadridentatus (NZPL544-12)(Chapel Lake)
219,NZPLR010_11|Brachionus_calyciflorus,NZPLR010-11|Brachionus_calyciflorus,NZPLR010-11,Brachionus-calyciflorus,Brachionus calyciflorus,Brachionus calyciflorus,Chapel Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:AAT8862,NA,NA,NA,NA,NZPLR010-11_Brachionus-calyciflorus_Chapel_Lake,Brachionus-calyciflorus (NA)(NZPLR010-11)(NA),Brachionus-calyciflorus (NZPLR010-11)(Chapel Lake),Brachionus-calyciflorus (NZPLR010-11)(Chapel Lake)
223,NZPLR014_11|Brachionus_calyciflorus,NZPLR014-11|Brachionus_calyciflorus,NZPLR014-11,Brachionus-calyciflorus,Brachionus calyciflorus,Brachionus calyciflorus,Turtle Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:AAT8863,NA,NA,NA,NA,NZPLR014-11_Brachionus-calyciflorus_Turtle_Lake,Brachionus-calyciflorus (NA)(NZPLR014-11)(NA),Brachionus-calyciflorus (NZPLR014-11)(Turtle Lake),Brachionus-calyciflorus (NZPLR014-11)(Turtle Lake)
226,NZPLR017_11|Brachionus_quadridentatus,NZPLR017-11|Brachionus_quadridentatus,NZPLR017-11,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus quadridentatus,Turtle Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:AAT9963,NA,NA,NA,NA,NZPLR017-11_Brachionus-quadridentatus_Turtle_Lake,Brachionus-quadridentatus (NA)(NZPLR017-11)(NA),Brachionus-quadridentatus (NZPLR017-11)(Turtle Lake),Brachionus-quadridentatus (NZPLR017-11)(Turtle Lake)
237,NZPLR051_11|Brachionus_angularis,NZPLR051-11|Brachionus_angularis,NZPLR051-11,Brachionus-angularis,Brachionus angularis,Brachionus angularis,Knighton Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:AAZ3874,NA,NA,NA,NA,NZPLR051-11_Brachionus-angularis_Knighton_Lake,Brachionus-angularis (NA)(NZPLR051-11)(NA),Brachionus-angularis (NZPLR051-11)(Knighton Lake),Brachionus-angularis (NZPLR051-11)(Knighton Lake)
257,NZPLR176_12|Brachionus_angularis,NZPLR176-12|Brachionus_angularis,NZPLR176-12,Brachionus-angularis,Brachionus angularis,Brachionus angularis,Turtle Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:ABU8353,NA,NA,NA,NA,NZPLR176-12_Brachionus-angularis_Turtle_Lake,Brachionus-angularis (NA)(NZPLR176-12)(NA),Brachionus-angularis (NZPLR176-12)(Turtle Lake),Brachionus-angularis (NZPLR176-12)(Turtle Lake)
258,NZPLR177_12|Brachionus_quadridentatus,NZPLR177-12|Brachionus_quadridentatus,NZPLR177-12,Brachionus-quadridentatus,Brachionus quadridentatus,Brachionus quadridentatus,Turtle Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:ABA7390,NA,NA,NA,NA,NZPLR177-12_Brachionus-quadridentatus_Turtle_Lake,Brachionus-quadridentatus (NA)(NZPLR177-12)(NA),Brachionus-quadridentatus (NZPLR177-12)(Turtle Lake),Brachionus-quadridentatus (NZPLR177-12)(Turtle Lake)
275,NZPLR199_12|Brachionus_angularis,NZPLR199-12|Brachionus_angularis,NZPLR199-12,Brachionus-angularis,Brachionus angularis,Brachionus angularis,Knighton Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:AAZ3874,NA,NA,NA,NA,NZPLR199-12_Brachionus-angularis_Knighton_Lake,Brachionus-angularis (NA)(NZPLR199-12)(NA),Brachionus-angularis (NZPLR199-12)(Knighton Lake),Brachionus-angularis (NZPLR199-12)(Knighton Lake)
276,NZPLR200_12|Brachionus_angularis,NZPLR200-12|Brachionus_angularis,NZPLR200-12,Brachionus-angularis,Brachionus angularis,Brachionus angularis,Knighton Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:AAZ3874,NA,NA,NA,NA,NZPLR200-12_Brachionus-angularis_Knighton_Lake,Brachionus-angularis (NA)(NZPLR200-12)(NA),Brachionus-angularis (NZPLR200-12)(Knighton Lake),Brachionus-angularis (NZPLR200-12)(Knighton Lake)
295,NZPLR223_13|Brachionus_calyciflorus,NZPLR223-13|Brachionus_calyciflorus,NZPLR223-13,Brachionus-calyciflorus,Brachionus calyciflorus,Brachionus calyciflorus,Lake Cameron,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:AAT8862,NA,NA,NA,NA,NZPLR223-13_Brachionus-calyciflorus_Lake_Cameron,Brachionus-calyciflorus (NA)(NZPLR223-13)(NA),Brachionus-calyciflorus (NZPLR223-13)(Lake Cameron),Brachionus-calyciflorus (NZPLR223-13)(Lake Cameron)
296,NZPLR224_13|Brachionus_calyciflorus,NZPLR224-13|Brachionus_calyciflorus,NZPLR224-13,Brachionus-calyciflorus,Brachionus calyciflorus,Brachionus calyciflorus,Lake Cameron,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:AAT8862,NA,NA,NA,NA,NZPLR224-13_Brachionus-calyciflorus_Lake_Cameron,Brachionus-calyciflorus (NA)(NZPLR224-13)(NA),Brachionus-calyciflorus (NZPLR224-13)(Lake Cameron),Brachionus-calyciflorus (NZPLR224-13)(Lake Cameron)
317,NZPLR256_13|Brachionus_budapestanensis,NZPLR256-13|Brachionus_budapestanensis,NZPLR256-13,Brachionus-budapestanensis,Brachionus budapestanensis,Brachionus budapestanensis,Oranga Lake,DS-NZROT,Brachionus,Brachionidae,Ploima,NA,BOLD:ACG5388,NA,NA,NA,NA,NZPLR256-13_Brachionus-budapestanensis_Oranga_Lake,Brachionus-budapestanensis (NA)(NZPLR256-13)(NA),Brachionus-budapestanensis (NZPLR256-13)(Oranga Lake),Brachionus-budapestanensis (NZPLR256-13)(Oranga Lake)
123,NZPL555_12|Collotheca_sp.,NZPL555-12|Collotheca_sp.,NZPL555-12,Collotheca-sp.,Collotheca sp.,Collotheca sp.,Lake Taupo,DS-NZROT,Collotheca,Collothecidae,Collothecaceae,NA,BOLD:ABU9596,NA,NA,NA,NA,NZPL555-12_Collotheca-sp._Lake_Taupo,Collotheca-sp. (NA)(NZPL555-12)(NA),Collotheca-sp. (NZPL555-12)(Lake Taupo),Collotheca-sp. (NZPL555-12)(Lake Taupo)
133,NZPL573_12|Collotheca_sp.,NZPL573-12|Collotheca_sp.,NZPL573-12,Collotheca-sp.,Collotheca sp.,Collotheca sp.,Lake Rotoiti,DS-NZROT,Collotheca,Collothecidae,Collothecaceae,NA,BOLD:ABU9596,NA,NA,NA,NA,NZPL573-12_Collotheca-sp._Lake_Rotoiti,Collotheca-sp. (NA)(NZPL573-12)(NA),Collotheca-sp. (NZPL573-12)(Lake Rotoiti),Collotheca-sp. (NZPL573-12)(Lake Rotoiti)
304,NZPLR236_13|Collotheca_sp.,NZPLR236-13|Collotheca_sp.,NZPLR236-13,Collotheca-sp.,Collotheca sp.,Collotheca sp.,Chapel Lake,DS-NZROT,Collotheca,Collothecidae,Collothecaceae,NA,BOLD:ACC8099,NA,NA,NA,NA,NZPLR236-13_Collotheca-sp._Chapel_Lake,Collotheca-sp. (NA)(NZPLR236-13)(NA),Collotheca-sp. (NZPLR236-13)(Chapel Lake),Collotheca-sp. (NZPLR236-13)(Chapel Lake)
326,NZPLR372_14|Colurella_uncinata,NZPLR372-14|Colurella_uncinata,NZPLR372-14,Colurella-uncinata,Colurella uncinata,Colurella uncinata,Hamilton Zoo Ponds,DS-NZROT,Colurella,Lepadellidae,Ploima,NA,BOLD:ACR4005,NA,NA,NA,NA,NZPLR372-14_Colurella-uncinata_Hamilton_Zoo_Ponds,Colurella-uncinata (NA)(NZPLR372-14)(NA),Colurella-uncinata (NZPLR372-14)(Hamilton Zoo Ponds),Colurella-uncinata (NZPLR372-14)(Hamilton Zoo Ponds)
117,NZPL542_12|Cupelopagis_vorax,NZPL542-12|Cupelopagis_vorax,NZPL542-12,Cupelopagis-vorax,Cupelopagis vorax,Cupelopagis vorax,Chapel Lake,DS-NZROT,Cupelopagis,Atrochidae,Collothecaceae,NA,BOLD:ABU8196,NA,NA,NA,NA,NZPL542-12_Cupelopagis-vorax_Chapel_Lake,Cupelopagis-vorax (NA)(NZPL542-12)(NA),Cupelopagis-vorax (NZPL542-12)(Chapel Lake),Cupelopagis-vorax (NZPL542-12)(Chapel Lake)
122,NZPL547_12|Euchlanis_pyriformis,NZPL547-12|Euchlanis_pyriformis,NZPL547-12,Euchlanis-pyriformis,Euchlanis pyriformis,Euchlanis pyriformis,Chapel Lake,DS-NZROT,Euchlanis,Euchlanidae,Ploima,NA,BOLD:ABU8292,NA,NA,NA,NA,NZPL547-12_Euchlanis-pyriformis_Chapel_Lake,Euchlanis-pyriformis (NA)(NZPL547-12)(NA),Euchlanis-pyriformis (NZPL547-12)(Chapel Lake),Euchlanis-pyriformis (NZPL547-12)(Chapel Lake)
279,NZPLR205_12|Euchlanis_cf._deflexa,NZPLR205-12|Euchlanis_cf._deflexa,NZPLR205-12,Euchlanis-cf. deflexa,Euchlanis cf. deflexa,Euchlanis cf. deflexa,Kahikatea Pond,DS-NZROT,Euchlanis,Euchlanidae,Ploima,NA,BOLD:ACA2873,NA,NA,NA,NA,NZPLR205-12_Euchlanis-cf._deflexa_Kahikatea_Pond,Euchlanis-cf. deflexa (NA)(NZPLR205-12)(NA),Euchlanis-cf. deflexa (NZPLR205-12)(Kahikatea Pond),Euchlanis-cf. deflexa (NZPLR205-12)(Kahikatea Pond)
280,NZPLR206_12|Euchlanis_cf._deflexa,NZPLR206-12|Euchlanis_cf._deflexa,NZPLR206-12,Euchlanis-cf. deflexa,Euchlanis cf. deflexa,Euchlanis cf. deflexa,Kahikatea Pond,DS-NZROT,Euchlanis,Euchlanidae,Ploima,NA,BOLD:ACA2873,NA,NA,NA,NA,NZPLR206-12_Euchlanis-cf._deflexa_Kahikatea_Pond,Euchlanis-cf. deflexa (NA)(NZPLR206-12)(NA),Euchlanis-cf. deflexa (NZPLR206-12)(Kahikatea Pond),Euchlanis-cf. deflexa (NZPLR206-12)(Kahikatea Pond)
287,NZPLR215_13|Euchlanis_pyriformis,NZPLR215-13|Euchlanis_pyriformis,NZPLR215-13,Euchlanis-pyriformis,Euchlanis pyriformis,Euchlanis pyriformis,Chapel Lake,DS-NZROT,Euchlanis,Euchlanidae,Ploima,NA,BOLD:ABU8292,NA,NA,NA,NA,NZPLR215-13_Euchlanis-pyriformis_Chapel_Lake,Euchlanis-pyriformis (NA)(NZPLR215-13)(NA),Euchlanis-pyriformis (NZPLR215-13)(Chapel Lake),Euchlanis-pyriformis (NZPLR215-13)(Chapel Lake)
300,NZPLR230_13|Euchlanis_meneta,NZPLR230-13|Euchlanis_meneta,NZPLR230-13,Euchlanis-meneta,Euchlanis meneta,Euchlanis meneta,Waikato River,DS-NZROT,Euchlanis,Euchlanidae,Ploima,NA,BOLD:ACC8200,NA,NA,NA,NA,NZPLR230-13_Euchlanis-meneta_Waikato_River,Euchlanis-meneta (NA)(NZPLR230-13)(NA),Euchlanis-meneta (NZPLR230-13)(Waikato River),Euchlanis-meneta (NZPLR230-13)(Waikato River)
301,NZPLR232_13|Euchlanis_meneta,NZPLR232-13|Euchlanis_meneta,NZPLR232-13,Euchlanis-meneta,Euchlanis meneta,Euchlanis meneta,Waikato River,DS-NZROT,Euchlanis,Euchlanidae,Ploima,NA,BOLD:ACC8729,NA,NA,NA,NA,NZPLR232-13_Euchlanis-meneta_Waikato_River,Euchlanis-meneta (NA)(NZPLR232-13)(NA),Euchlanis-meneta (NZPLR232-13)(Waikato River),Euchlanis-meneta (NZPLR232-13)(Waikato River)
302,NZPLR233_13|Euchlanis_meneta,NZPLR233-13|Euchlanis_meneta,NZPLR233-13,Euchlanis-meneta,Euchlanis meneta,Euchlanis meneta,Waikato River,DS-NZROT,Euchlanis,Euchlanidae,Ploima,NA,BOLD:ACC8729,NA,NA,NA,NA,NZPLR233-13_Euchlanis-meneta_Waikato_River,Euchlanis-meneta (NA)(NZPLR233-13)(NA),Euchlanis-meneta (NZPLR233-13)(Waikato River),Euchlanis-meneta (NZPLR233-13)(Waikato River)
307,NZPLR242_13|Euchlanis_pyriformis,NZPLR242-13|Euchlanis_pyriformis,NZPLR242-13,Euchlanis-pyriformis,Euchlanis pyriformis,Euchlanis pyriformis,Chapel Lake,DS-NZROT,Euchlanis,Euchlanidae,Ploima,NA,BOLD:ABU8292,NA,NA,NA,NA,NZPLR242-13_Euchlanis-pyriformis_Chapel_Lake,Euchlanis-pyriformis (NA)(NZPLR242-13)(NA),Euchlanis-pyriformis (NZPLR242-13)(Chapel Lake),Euchlanis-pyriformis (NZPLR242-13)(Chapel Lake)
104,NZPL516_12|Filinia_longiseta,NZPL516-12|Filinia_longiseta,NZPL516-12,Filinia-longiseta,Filinia longiseta,Filinia longiseta,Auckland Botanical Gardens,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,BOLD:ABU8253,NA,NA,NA,NA,NZPL516-12_Filinia-longiseta_Auckland_Botanical_Gardens,Filinia-longiseta (NA)(NZPL516-12)(NA),Filinia-longiseta (NZPL516-12)(Auckland Botanical Gardens),Filinia-longiseta (NZPL516-12)(Auckland Botanical Gardens)
105,NZPL517_12|Filinia_longiseta,NZPL517-12|Filinia_longiseta,NZPL517-12,Filinia-longiseta,Filinia longiseta,Filinia longiseta,Auckland Botanical Gardens,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,BOLD:ABU8253,NA,NA,NA,NA,NZPL517-12_Filinia-longiseta_Auckland_Botanical_Gardens,Filinia-longiseta (NA)(NZPL517-12)(NA),Filinia-longiseta (NZPL517-12)(Auckland Botanical Gardens),Filinia-longiseta (NZPL517-12)(Auckland Botanical Gardens)
109,NZPL523_12|Filinia_longiseta,NZPL523-12|Filinia_longiseta,NZPL523-12,Filinia-longiseta,Filinia longiseta,Filinia longiseta,Albany Pond,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,BOLD:ABU8253,NA,NA,NA,NA,NZPL523-12_Filinia-longiseta_Albany_Pond,Filinia-longiseta (NA)(NZPL523-12)(NA),Filinia-longiseta (NZPL523-12)(Albany Pond),Filinia-longiseta (NZPL523-12)(Albany Pond)
110,NZPL524_12|Filinia_longiseta,NZPL524-12|Filinia_longiseta,NZPL524-12,Filinia-longiseta,Filinia longiseta,Filinia longiseta,Albany Pond,DS-NZROT,Filinia,Filiniidae,Flosculariacea,NA,BOLD:ABU8253,NA,NA,NA,NA,NZPL524-12_Filinia-longiseta_Albany_Pond,Filinia-longiseta (NA)(NZPL524-12)(NA),Filinia-longiseta (NZPL524-12)(Albany Pond),Filinia-longiseta (NZPL524-12)(Albany Pond)
