fasta order,tip_labels,tip_labels_xx,processid,species,species_name_tidy,species_name_barcode_gap,Locality,Source_type,Genus,family,order,sampleid,bin_uri,genus_name,species_name,country,region,tip_labels_previous,new_names_public,new_names_NZ,new_labels
106,NZPL520_12|Keratella_procurva,NZPL520-12|Keratella_procurva,NZPL520-12,Keratella-procurva,Keratella procurva,Keratella procurva,Auckland Botanical Gardens,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAM5102,NA,NA,NA,NA,NZPL520-12_Keratella-procurva_Auckland_Botanical_Gardens,Keratella-procurva (NA)(NZPL520-12)(NA),Keratella-procurva (NZPL520-12)(Auckland Botanical Gardens),Keratella-procurva (NZPL520-12)(Auckland Botanical Gardens)
107,NZPL521_12|Keratella_procurva,NZPL521-12|Keratella_procurva,NZPL521-12,Keratella-procurva,Keratella procurva,Keratella procurva,Auckland Botanical Gardens,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAM5102,NA,NA,NA,NA,NZPL521-12_Keratella-procurva_Auckland_Botanical_Gardens,Keratella-procurva (NA)(NZPL521-12)(NA),Keratella-procurva (NZPL521-12)(Auckland Botanical Gardens),Keratella-procurva (NZPL521-12)(Auckland Botanical Gardens)
112,NZPL526_12|Keratella_tropica,NZPL526-12|Keratella_tropica,NZPL526-12,Keratella-tropica,Keratella tropica,Keratella tropica,Albany Pond,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAU3067,NA,NA,NA,NA,NZPL526-12_Keratella-tropica_Albany_Pond,Keratella-tropica (NA)(NZPL526-12)(NA),Keratella-tropica (NZPL526-12)(Albany Pond),Keratella-tropica (NZPL526-12)(Albany Pond)
130,NZPL562_12|Keratella_cochlearis,NZPL562-12|Keratella_cochlearis,NZPL562-12,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,Lake Tarawera,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAZ5138,NA,NA,NA,NA,NZPL562-12_Keratella-cochlearis_Lake_Tarawera,Keratella-cochlearis (NA)(NZPL562-12)(NA),Keratella-cochlearis (NZPL562-12)(Lake Tarawera),Keratella-cochlearis (NZPL562-12)(Lake Tarawera)
131,NZPL563_12|Keratella_cochlearis,NZPL563-12|Keratella_cochlearis,NZPL563-12,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,Lake Tarawera,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAZ5138,NA,NA,NA,NA,NZPL563-12_Keratella-cochlearis_Lake_Tarawera,Keratella-cochlearis (NA)(NZPL563-12)(NA),Keratella-cochlearis (NZPL563-12)(Lake Tarawera),Keratella-cochlearis (NZPL563-12)(Lake Tarawera)
132,NZPL564_12|Keratella_cochlearis,NZPL564-12|Keratella_cochlearis,NZPL564-12,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,Lake Tarawera,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAZ5138,NA,NA,NA,NA,NZPL564-12_Keratella-cochlearis_Lake_Tarawera,Keratella-cochlearis (NA)(NZPL564-12)(NA),Keratella-cochlearis (NZPL564-12)(Lake Tarawera),Keratella-cochlearis (NZPL564-12)(Lake Tarawera)
213,NZPLR004_10|Keratella_cochlearis,NZPLR004-10|Keratella_cochlearis,NZPLR004-10,Keratella-cochlearis,Keratella cochlearis,Keratella cochlearis,Turtle Lake,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAM3256,NA,NA,NA,NA,NZPLR004-10_Keratella-cochlearis_Turtle_Lake,Keratella-cochlearis (NA)(NZPLR004-10)(NA),Keratella-cochlearis (NZPLR004-10)(Turtle Lake),Keratella-cochlearis (NZPLR004-10)(Turtle Lake)
216,NZPLR007_10|Keratella_procurva,NZPLR007-10|Keratella_procurva,NZPLR007-10,Keratella-procurva,Keratella procurva,Keratella procurva,Turtle Lake,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAM5102,NA,NA,NA,NA,NZPLR007-10_Keratella-procurva_Turtle_Lake,Keratella-procurva (NA)(NZPLR007-10)(NA),Keratella-procurva (NZPLR007-10)(Turtle Lake),Keratella-procurva (NZPLR007-10)(Turtle Lake)
220,NZPLR011_11|Keratella_tropica,NZPLR011-11|Keratella_tropica,NZPLR011-11,Keratella-tropica,Keratella tropica,Keratella tropica,Turtle Lake,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAU3067,NA,NA,NA,NA,NZPLR011-11_Keratella-tropica_Turtle_Lake,Keratella-tropica (NA)(NZPLR011-11)(NA),Keratella-tropica (NZPLR011-11)(Turtle Lake),Keratella-tropica (NZPLR011-11)(Turtle Lake)
221,NZPLR012_11|Keratella_tropica,NZPLR012-11|Keratella_tropica,NZPLR012-11,Keratella-tropica,Keratella tropica,Keratella tropica,Turtle Lake,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAU3067,NA,NA,NA,NA,NZPLR012-11_Keratella-tropica_Turtle_Lake,Keratella-tropica (NA)(NZPLR012-11)(NA),Keratella-tropica (NZPLR012-11)(Turtle Lake),Keratella-tropica (NZPLR012-11)(Turtle Lake)
227,NZPLR018_11|Keratella_tropica,NZPLR018-11|Keratella_tropica,NZPLR018-11,Keratella-tropica,Keratella tropica,Keratella tropica,Knighton Lake,DS-NZROT,Keratella,Brachionidae,Ploima,NA,BOLD:AAU3067,NA,NA,NA,NA,NZPLR018-11_Keratella-tropica_Knighton_Lake,Keratella-tropica (NA)(NZPLR018-11)(NA),Keratella-tropica (NZPLR018-11)(Knighton Lake),Keratella-tropica (NZPLR018-11)(Knighton Lake)
